Rarity	Base	STR	DEX	INT	R	G	B
Normal	Ursine Pelt	0	114	0	0	1	0
Normal	Shagreen Boots	0	97	0	1	2	0
Magic	Hale Gladiator Plate of the Squall	177	0	0	1	0	0
Normal	Superior Sharkskin Tunic	0	152	0	1	2	0
Normal	Battle Hammer	143	0	0	2	0	0
Normal	Colosseum Plate	134	0	0	2	1	0
Normal	Thicket Bow	0	179	0	0	1	0
Normal	Cutthroat's Garb	0	144	0	0	2	0
Normal	Superior Colosseum Plate	134	0	0	0	1	0
Normal	Cutthroat's Garb	0	144	0	0	0	1
Magic	Wasp's Sharkskin Tunic of Eviction	0	152	0	0	1	0
Normal	Assassin's Garb	0	183	0	0	1	0
Normal	Imperial Bow	0	212	0	0	2	0
Normal	Terror Maul	212	0	0	3	0	0
Normal	Dread Maul	173	0	0	1	2	0
Normal	Colossus Mallet	188	0	0	2	0	0
Normal	Shagreen Tower Shield	139	0	0	3	0	0
Normal	Superior Dread Maul	173	0	0	2	0	0
Normal	Ivory Bow	0	152	0	0	2	0
Normal	Serpent Wand	0	0	158	0	1	1
Normal	Omen Wand	0	0	200	0	0	2
Normal	Omen Wand	0	0	200	1	0	2
Normal	Faun's Horn	0	0	116	0	1	2
Normal	Demon's Horn	0	0	179	0	0	2
Normal	Imbued Wand	0	0	188	0	0	3
Normal	Imbued Wand	0	0	188	0	0	1
Normal	Demon's Horn	0	0	179	0	0	2
Normal	Tenderizer	185	0	0	2	0	0
Normal	Tenderizer	185	0	0	2	1	0
Normal	Superior Tenderizer	185	0	0	2	1	0
Normal	Dragonbone Rapier	0	185	0	0	2	0
Normal	Ancestral Club	179	0	0	1	1	0
Normal	Dragonbone Rapier	0	185	0	0	3	0
Normal	Apex Rapier	0	176	0	1	1	0
Normal	Necromancer Circlet	0	0	112	0	0	1
Normal	Solaris Circlet	0	0	122	1	0	1
Normal	Solaris Circlet	0	0	122	1	0	0
Normal	Ursine Pelt	0	114	0	0	1	0
Normal	Ursine Pelt	0	114	0	0	2	0
Normal	Leather Hood	0	46	0	0	0	1
Normal	Superior Noble Tricorne	0	99	0	0	1	0
Normal	Fossilised Spirit Shield	0	0	141	0	0	3
Magic	Lacewood Spirit Shield of the Cloud	0	0	134	0	0	3
Normal	Crusader Plate	160	0	0	3	0	1
Normal	Sharkskin Tunic	0	152	0	0	2	0
Normal	Golden Plate	152	0	0	2	0	0
Normal	Golden Plate	152	0	0	3	0	0
Normal	Sun Plate	124	0	0	3	0	0
Magic	Sparking Phantom Mace of the Gorilla	170	0	0	2	0	0
Normal	Ceremonial Mace	95	0	0	1	0	0
Normal	Thicket Bow	0	179	0	0	2	0
Normal	Karui Maul	182	0	0	1	0	0
Normal	Thicket Bow	0	179	0	1	1	0
Normal	Bronze Tower Shield	114	0	0	2	0	0
Normal	Colossus Mallet	188	0	0	4	0	0
Normal	Sun Plate	124	0	0	2	0	1
Normal	Karui Maul	182	0	0	3	0	0
Normal	Colossus Mallet	188	0	0	2	0	0
Normal	Superior Shagreen Tower Shield	139	0	0	3	0	0
Normal	Plated Maul	164	0	0	2	0	0
Normal	Apex Rapier	0	176	0	0	2	0
Normal	Basket Rapier	0	62	0	0	2	1
Normal	Walnut Spirit Shield	0	0	92	0	0	1
Normal	Ancient Greaves	82	0	0	2	0	0
Normal	Fossilised Spirit Shield	0	0	141	0	0	2
Magic	Djinn's Steel Circlet of Exile	0	0	101	0	0	1
Normal	Royal Burgonet	148	0	0	3	0	0
Normal	Shagreen Boots	0	97	0	0	2	0
Magic	Shagreen Boots of the Leopard	0	97	0	0	3	0
Normal	Golden Plate	152	0	0	2	0	0
Normal	Savant's Robe	0	0	152	0	0	3
Normal	Golden Plate	152	0	0	0	1	0
Magic	Barbed Conjurer's Vestment	0	0	124	0	0	2
Magic	Boggart's Conjurer's Vestment	0	0	124	0	0	3
Normal	Majestic Plate	144	0	0	2	0	0
Normal	Thicket Bow	0	179	0	0	1	0
Normal	Thicket Bow	0	179	0	1	2	0
Normal	Phantom Mace	170	0	0	3	0	0
Normal	Flanged Mace	152	0	0	2	0	1
Normal	Colossus Mallet	188	0	0	2	0	0
Normal	Piledriver	212	0	0	2	0	0
Normal	Dread Maul	173	0	0	2	1	0
Normal	Plated Maul	164	0	0	1	0	1
Normal	Dread Maul	173	0	0	2	0	0
Normal	Citadel Bow	0	185	0	0	2	1
Normal	Superior Omen Wand	0	0	200	0	0	3
Normal	Serpent Wand	0	0	158	0	0	1
Normal	Demon's Horn	0	0	179	0	0	2
Normal	Opal Wand	0	0	212	0	0	2
Normal	Demon's Horn	0	0	179	0	0	3
Normal	Demon's Horn	0	0	179	0	0	3
Normal	Imbued Wand	0	0	188	0	0	2
Normal	Demon's Horn	0	0	179	0	1	1
Normal	Imbued Wand	0	0	188	0	0	2
Normal	Demon's Horn	0	0	179	0	0	3
Magic	Chilled Omen Wand	0	0	200	0	0	2
Magic	Chalybeous Imbued Wand of Slamming	0	0	188	0	1	1
Normal	Omen Wand	0	0	200	0	0	3
Normal	Demon's Horn	0	0	179	0	0	3
Normal	Imbued Wand	0	0	188	0	0	1
Normal	Opal Wand	0	0	212	0	0	3
Magic	Smouldering Engraved Wand	0	0	131	0	0	2
Normal	Imbued Wand	0	0	188	0	0	3
Normal	Superior Primeval Rapier	0	158	0	0	3	0
Magic	Smouldering Vaal Rapier of Rage	0	212	0	0	2	0
Normal	Shagreen Boots	0	97	0	0	1	0
Normal	Shagreen Gloves	0	78	0	0	2	1
Normal	Goliath Greaves	95	0	0	2	0	0
Magic	Fortified Samite Helmet of the Marksman	114	0	0	1	0	0
Magic	Necromancer Circlet of the Thunderhead	0	0	112	0	0	3
Magic	Coronal Leather of the Lizard	0	134	0	0	2	0
Normal	Spidersilk Robe	0	0	134	0	0	3
Normal	Flanged Mace	152	0	0	2	0	0
Normal	Astral Plate	180	0	0	1	0	0
Normal	Vaal Regalia	0	0	194	1	0	1
Normal	Destiny Leather	0	160	0	0	0	1
Normal	Savant's Robe	0	0	152	0	0	4
Normal	Crusader Plate	160	0	0	0	0	1
Normal	Destiny Leather	0	160	0	1	2	0
Normal	Superior Nightmare Mace	212	0	0	2	0	0
Normal	Citadel Bow	0	185	0	0	1	0
Normal	Ivory Bow	0	152	0	0	2	0
Normal	Spiny Maul	155	0	0	2	1	0
Normal	Citadel Bow	0	185	0	0	2	1
Normal	Ranger Bow	0	212	0	0	2	0
Magic	Heated Decurve Bow	0	125	0	0	3	1
Normal	Crystal Wand	0	0	146	0	0	3
Normal	Demon's Horn	0	0	179	0	0	1
Normal	Crystal Wand	0	0	146	0	0	1
Normal	Omen Wand	0	0	200	0	0	2
Normal	Demon's Horn	0	0	179	0	0	2
Normal	Tornado Wand	0	0	212	0	0	2
Normal	Imbued Wand	0	0	188	0	1	2
Normal	Opal Wand	0	0	212	0	0	1
Normal	Demon's Horn	0	0	179	0	0	2
Normal	Imbued Wand	0	0	188	0	0	2
Normal	Omen Wand	0	0	200	1	0	1
Normal	Engraved Wand	0	0	131	0	1	2
Magic	Tempered Primeval Rapier of Rot	0	158	0	0	2	0
Normal	Superior Serrated Foil	0	149	0	1	1	0
Normal	Spiraled Foil	0	212	0	0	1	0
Normal	Conjurer Gloves	0	0	79	0	0	1
Normal	Titan Gauntlets	98	0	0	1	0	0
Normal	Antique Gauntlets	58	0	0	2	1	0
Normal	Arcanist Slippers	0	0	119	0	1	1
Normal	Sharkskin Gloves	0	66	0	0	2	0
Normal	Goliath Greaves	95	0	0	1	0	0
Normal	Vaal Greaves	117	0	0	1	0	0
Normal	Chiming Spirit Shield	0	0	118	0	0	2
Normal	Destiny Leather	0	160	0	0	3	0
Normal	Sharkskin Tunic	0	152	0	0	2	0
Normal	Zodiac Leather	0	197	0	0	2	0
Normal	Occultist's Vestment	0	0	180	0	0	1
Normal	Gladiator Plate	177	0	0	1	1	0
Normal	Pernarch	212	0	0	3	0	0
Normal	Colossus Mallet	188	0	0	1	0	0
Normal	Plated Maul	164	0	0	3	0	0
Normal	Majestic Plate	144	0	0	3	0	0
Normal	Crusader Plate	160	0	0	2	1	0
Normal	Imperial Maul	212	0	0	3	0	0
Magic	Plated Maul of Mastery	164	0	0	2	0	0
Normal	Dread Maul	173	0	0	2	0	0
Normal	Citadel Bow	0	185	0	0	3	0
Magic	Decimation Bow of Penetrating	0	170	0	0	1	1
Normal	Steelhead	143	0	0	2	0	0
Normal	Decimation Bow	0	170	0	0	1	0
Magic	Frigid Ivory Bow of Regrowth	0	152	0	0	2	0
Normal	Engraved Wand	0	0	131	0	1	1
Normal	Omen Wand	0	0	200	1	0	2
Normal	Imbued Wand	0	0	188	0	0	2
Normal	Imbued Wand	0	0	188	0	2	0
Normal	Demon's Horn	0	0	179	0	1	1
Normal	Demon's Horn	0	0	179	0	0	3
Normal	Imbued Wand	0	0	188	0	0	2
Normal	Prophecy Wand	0	0	245	0	0	3
Normal	Superior Omen Wand	0	0	200	0	0	3
Normal	Opal Wand	0	0	212	0	0	1
Normal	Omen Wand	0	0	200	1	0	1
Normal	Imbued Wand	0	0	188	0	0	3
Normal	Imbued Wand	0	0	188	0	0	3
Normal	Superior Imbued Wand	0	0	188	0	0	3
Normal	Serpent Wand	0	0	158	0	1	1
Normal	Demon's Horn	0	0	179	1	1	0
Normal	Imbued Wand	0	0	188	0	0	2
Magic	Beryl Crystal Wand of the Pupil	0	0	146	1	1	1
Normal	Tenderizer	185	0	0	3	0	0
Normal	Tenderizer	185	0	0	2	0	1
Normal	Apex Rapier	0	176	0	1	2	0
Magic	Smoking Dragonbone Rapier of the Gorilla	0	185	0	0	2	0
Normal	Arcanist Slippers	0	0	119	0	0	3
Normal	Satin Gloves	0	0	60	0	1	0
Normal	Goliath Gauntlets	76	0	0	3	0	0
Normal	Steel Gauntlets	52	0	0	2	1	1
Magic	Elephant's Goliath Greaves	95	0	0	2	1	1
Normal	Titanium Spirit Shield	0	0	159	0	0	1
Magic	Glittering Fossilised Spirit Shield of Excitement	0	0	141	0	0	3
Normal	Steel Circlet	0	0	101	0	0	3
Normal	Imperial Buckler	0	159	0	0	1	1
Normal	Majestic Plate	144	0	0	3	1	0
Normal	Destiny Leather	0	160	0	1	2	0
Normal	Destiny Leather	0	160	0	0	1	0
Normal	Necromancer Silks	0	0	160	0	0	2
Normal	Cutthroat's Garb	0	144	0	0	3	0
Normal	Ezomyte Tower Shield	159	0	0	1	0	0
Magic	Battle Hammer of Rejuvenation	143	0	0	0	0	1
Normal	Ebony Tower Shield	159	0	0	3	0	0
Normal	Compound Bow	0	134	0	1	3	0
Magic	Freezing Ancestral Club of the Gorilla	179	0	0	2	0	0
Normal	Ancestral Club	179	0	0	2	0	0
Magic	Ancestral Club of the Maelstrom	179	0	0	1	0	0
Magic	Arcing Jewelled Foil	0	212	0	0	3	0
Normal	Ironwood Buckler	0	136	0	0	2	0
Normal	Superior Deerskin Gloves	0	33	0	0	0	1
Normal	Dragonbone Rapier	0	185	0	0	1	0
Normal	Estoc	0	140	0	0	2	0
Normal	Shagreen Boots	0	97	0	0	2	0
Normal	Steel Circlet	0	0	101	0	0	1
Normal	Arcanist Gloves	0	0	95	0	0	3
Magic	Stalwart Shagreen Boots of the Lynx	0	97	0	1	1	0
Normal	Fossilised Spirit Shield	0	0	141	0	0	1
Normal	Vaal Regalia	0	0	194	1	0	1
Normal	Wild Leather	0	73	0	0	1	0
Normal	Savant's Robe	0	0	152	0	0	2
Normal	Shagreen Tower Shield	139	0	0	2	0	0
Normal	Sharkskin Tunic	0	152	0	0	2	0
Normal	Gladiator Plate	177	0	0	1	0	1
Normal	Ornate Mace	161	0	0	1	0	0
Normal	Glorious Leather	0	124	0	0	2	0
Normal	Imperial Maul	212	0	0	4	0	0
Normal	Shagreen Tower Shield	139	0	0	3	0	0
Normal	Imperial Bow	0	212	0	0	3	1
Normal	Steelhead	143	0	0	3	0	0
Normal	Great Mallet	131	0	0	3	0	0
Normal	Spiny Maul	155	0	0	4	0	0
Normal	Goat's Horn	0	0	29	0	1	2
Normal	Carved Wand	0	0	47	0	2	0
Magic	Squire's Carved Wand of Success	0	0	47	0	0	2
Normal	Spiked Club	41	0	0	0	1	0
Normal	Battered Foil	0	47	0	0	1	1
Normal	Battered Foil	0	47	0	0	2	1
Normal	Goathide Gloves	0	17	0	0	0	2
Normal	Velvet Gloves	0	0	21	0	0	1
Normal	Cone Helmet	21	0	0	1	0	0
Magic	Hale Pine Buckler	0	26	0	0	1	1
Normal	Pine Buckler	0	26	0	1	0	1
Normal	Silken Vest	0	0	37	0	0	1
Normal	Short Bow	0	26	0	0	1	1
Normal	Short Bow	0	26	0	1	1	0
Normal	Tribal Maul	35	0	0	0	0	1
Normal	Short Bow	0	26	0	2	0	1
Normal	Short Bow	0	26	0	0	1	0
Normal	Chestplate	25	0	0	2	0	0
Normal	Corroded Tower Shield	20	0	0	1	0	0
Normal	Tribal Maul	35	0	0	2	0	0
Normal	Driftwood Maul	20	0	0	1	1	0
Normal	Long Bow	0	38	0	0	1	0
Magic	Humming Long Bow of Ease	0	38	0	1	1	0
Normal	Jade Chopper	31	0	0	2	0	1
Normal	Jade Chopper	31	0	0	2	0	0
Normal	Jade Chopper	31	0	0	0	1	0
Normal	Jade Chopper	31	0	0	1	0	0
Magic	Humming Long Bow of the Inuit	0	38	0	0	3	0
Normal	Superior Long Bow	0	38	0	0	3	0
Normal	Long Bow	0	38	0	0	2	0
Normal	Quartz Wand	0	0	65	0	0	1
Normal	Goat's Horn	0	0	29	0	0	3
Magic	Thunder Lord's Quartz Wand	0	0	65	0	0	2
Normal	Goat's Horn	0	0	29	0	1	2
Normal	Carved Wand	0	0	47	0	0	3
Normal	Jagged Foil	0	77	0	0	1	1
Normal	Jagged Foil	0	77	0	0	3	0
Normal	Basket Rapier	0	62	0	0	2	0
Normal	Bronze Gauntlets	36	0	0	1	0	0
Magic	Smoking Deerskin Gloves of Success	0	33	0	0	1	0
Normal	Battered Foil	0	47	0	0	1	2
Normal	Superior Bronze Gauntlets	36	0	0	2	0	0
Normal	Bronze Gauntlets	36	0	0	3	0	0
Magic	Goathide Boots of the Lynx	0	26	0	0	2	0
Normal	Deerskin Boots	0	42	0	0	2	0
Normal	Tricorne	0	27	0	0	1	2
Normal	Pine Buckler	0	26	0	1	1	1
Magic	Glittering Iron Circlet of Accuracy	0	0	23	1	0	0
Magic	Burnished War Hammer	71	0	0	3	0	0
Normal	Silken Vest	0	0	37	0	0	2
Magic	Combatant's Sledgehammer of Restoration	62	0	0	2	0	0
Normal	Cleaver	48	0	0	1	1	0
Normal	War Hammer	71	0	0	1	1	0
Normal	Scholar's Robe	0	0	55	0	0	2
Normal	Scholar's Robe	0	0	55	2	0	0
Normal	Buckskin Tunic	0	53	0	0	2	0
Normal	War Hammer	71	0	0	2	0	1
Normal	Short Bow	0	26	0	0	1	1
Normal	Jagged Maul	77	0	0	2	0	0
Normal	Recurve Bow	0	65	0	0	2	1
Normal	Stone Axe	17	0	0	2	1	0
Magic	Smouldering Bone Bow	0	80	0	1	1	0
Normal	Bone Bow	0	80	0	0	1	1
Normal	Recurve Bow	0	65	0	0	0	1
Normal	Recurve Bow	0	65	0	0	2	0
Normal	Quartz Wand	0	0	65	0	1	1
Normal	Superior Sage Wand	0	0	119	0	0	1
Normal	Quartz Wand	0	0	65	1	0	0
Normal	Quartz Wand	0	0	65	0	0	3
Normal	Superior Quartz Wand	0	0	65	0	0	2
Normal	Sage Wand	0	0	119	0	0	2
Magic	Sage Wand of the Seal	0	0	119	0	0	2
Normal	Sage Wand	0	0	119	1	1	1
Normal	Superior Quartz Wand	0	0	65	0	0	2
Normal	Superior Spiraled Wand	0	0	83	0	0	2
Normal	Antique Rapier	0	89	0	0	2	1
Normal	Antique Rapier	0	89	0	0	1	0
Magic	Gremlin's Silk Gloves	0	0	39	0	0	2
Normal	Deerskin Gloves	0	33	0	1	2	0
Normal	Silk Gloves	0	0	39	0	0	1
Normal	Deerskin Boots	0	42	0	0	3	0
Normal	Plated Greaves	44	0	0	2	0	0
Normal	Plated Gauntlets	20	0	0	1	0	0
Normal	Torture Cage	0	0	40	1	0	2
Normal	Tribal Circlet	0	0	58	1	0	2
Normal	Scholar's Robe	0	0	55	0	0	2
Normal	Pine Buckler	0	26	0	0	2	0
Normal	Mage's Vestment	0	0	81	1	0	0
Normal	Sun Leather	0	91	0	0	2	0
Normal	Sun Leather	0	91	0	0	1	0
Normal	Full Leather	0	81	0	1	2	1
Normal	Arena Plate	91	0	0	1	0	0
Normal	Full Plate	81	0	0	3	0	0
Normal	Full Plate	81	0	0	3	0	0
Normal	Full Leather	0	81	0	0	1	0
Normal	Bladed Mace	83	0	0	1	1	0
Normal	Fright Maul	107	0	0	2	0	0
Normal	Death Bow	0	107	0	0	2	0
Magic	Royal Bow of Ire	0	95	0	0	4	0
Magic	Heated Death Bow of Victory	0	107	0	0	3	0
Normal	Superior Death Bow	0	107	0	0	3	0
Normal	Bone Bow	0	80	0	0	2	0
Normal	Barbed Club	125	0	0	1	0	0
Normal	Burnished Foil	0	131	0	0	2	1
Magic	Thorn Rapier of the Fox	0	113	0	0	3	0
Normal	Elegant Foil	0	101	0	0	2	0
Normal	Silk Gloves	0	0	39	0	0	1
Normal	Satin Slippers	0	0	69	1	0	0
Magic	Lacquered Antique Greaves of the Drake	67	0	0	2	0	0
Magic	Steel Greaves of the Thunderhead	21	0	0	0	1	0
Normal	Lunaris Circlet	0	0	83	1	0	3
Normal	Nubuck Boots	0	62	0	0	3	0
Normal	Iron Circlet	0	0	23	0	1	0
Normal	Tribal Circlet	0	0	58	0	0	1
Normal	Gladiator Helmet	75	0	0	2	0	0
Normal	Hammered Buckler	0	60	0	0	3	0
Normal	Eelskin Tunic	0	104	0	0	2	0
Magic	Eelskin Tunic of Haze	0	104	0	0	2	0
Magic	Spectre's Eelskin Tunic	0	104	0	1	2	0
Magic	Stalwart Eelskin Tunic of the Cloud	0	104	0	1	0	0
Normal	Eelskin Tunic	0	104	0	1	0	1
Normal	Superior Bronze Plate	104	0	0	3	1	0
Normal	Thief's Garb	0	99	0	0	1	0
Normal	Thief's Garb	0	99	0	1	1	1
Normal	Sun Leather	0	91	0	0	3	0
Normal	Wild Leather	0	73	0	0	0	1
Normal	Full Plate	81	0	0	2	0	1
Normal	Arena Plate	91	0	0	2	0	0
Normal	Buckskin Tower Shield	96	0	0	3	0	0
Magic	Polished Great Mallet of Haemophilia	131	0	0	2	0	1
Normal	Superior Great Mallet	131	0	0	2	0	0
Magic	Spiny Painted Tower Shield of Vitality	87	0	0	2	0	1
Magic	Freezing Grove Bow of Stunning	0	116	0	0	2	0
Normal	Decurve Bow	0	125	0	0	1	0
Magic	Smoking Bone Bow	0	80	0	0	3	0
Normal	Royal Bow	0	95	0	0	2	1
Normal	Barbed Club	125	0	0	3	0	0
Normal	Wyrmbone Rapier	0	122	0	0	2	0
Normal	Satin Gloves	0	0	60	0	0	2
Normal	Bronze Gauntlets	36	0	0	1	0	0
Normal	Antique Gauntlets	58	0	0	3	0	0
Normal	Nubuck Boots	0	62	0	0	1	0
Normal	Steel Greaves	21	0	0	0	0	1
Normal	Reaver Helmet	85	0	0	1	0	3
Normal	Glorious Leather	0	124	0	0	3	1
Normal	Battle Hammer	143	0	0	2	0	0
Magic	Robust Cedar Tower Shield of Composure	46	0	0	0	2	1
Normal	Glorious Leather	0	124	0	0	1	0
Magic	Gleaming Ceremonial Mace	95	0	0	3	0	0
Normal	Battle Plate	114	0	0	2	0	0
Normal	Glorious Leather	0	124	0	1	1	0
Magic	Spiny Sage's Robe of the Drake	0	0	104	0	0	3
Normal	Stone Hammer	56	0	0	1	1	0
Normal	Battle Hammer	143	0	0	3	0	0
Normal	Great Mallet	131	0	0	1	0	1
Normal	Fright Maul	107	0	0	3	0	0
Normal	Decurve Bow	0	125	0	0	2	0
Normal	Sniper Bow	0	143	0	0	5	0
Normal	Faun's Horn	0	0	116	0	0	2
Normal	Spiraled Wand	0	0	83	0	0	2
Magic	Frigid Crystal Wand of Electricity	0	0	146	0	2	1
Normal	Crystal Wand	0	0	146	0	0	2
Normal	Crystal Wand	0	0	146	0	1	2
Normal	Superior Engraved Wand	0	0	131	0	0	1
Normal	Crystal Wand	0	0	146	0	0	2
Normal	Crystal Wand	0	0	146	0	0	2
Magic	Flame Spinner's Crystal Wand of Rejuvenation	0	0	146	0	0	3
Normal	Engraved Wand	0	0	131	1	0	2
Normal	Serpent Wand	0	0	158	0	0	2
Normal	Superior Spiraled Wand	0	0	83	0	0	2
Normal	Engraved Wand	0	0	131	0	0	2
Normal	Engraved Wand	0	0	131	0	0	3
Normal	Serpent Wand	0	0	158	1	0	1
Magic	Scorching Serpent Wand of Triumph	0	0	158	0	1	0
Normal	Serpent Wand	0	0	158	0	0	1
Normal	Crystal Wand	0	0	146	0	1	1
Normal	Sage Wand	0	0	119	0	0	2
Normal	Crystal Wand	0	0	146	0	0	2
Normal	Estoc	0	140	0	0	2	1
Normal	Burnished Foil	0	131	0	0	2	0
Normal	Nubuck Gloves	0	50	0	1	3	0
Normal	Steel Circlet	0	0	101	0	0	3
Normal	Battle Buckler	0	121	0	0	2	0
Normal	Samite Slippers	0	0	79	0	1	0
Normal	Reaver Helmet	85	0	0	1	0	0
Normal	Gladiator Helmet	75	0	0	3	1	0
Normal	Ancient Greaves	82	0	0	3	0	0
Normal	Battle Plate	114	0	0	2	1	0
Normal	Thief's Garb	0	99	0	0	2	0
Normal	Spidersilk Robe	0	0	134	0	1	3
Normal	Spidersilk Robe	0	0	134	0	0	2
Normal	Full Leather	0	81	0	0	4	0
Normal	Grove Bow	0	116	0	0	2	0
Normal	Sun Plate	124	0	0	3	0	0
Normal	Spidersilk Robe	0	0	134	0	0	1
Magic	Polished Battle Hammer of the Worthy	117	0	0	2	0	1
Normal	Ivory Bow	0	152	0	0	1	1
Normal	Highborn Bow	0	161	0	0	2	1
Normal	Superior Steelhead	143	0	0	2	0	0
Normal	Mahogany Tower Shield	105	0	0	2	0	0
Normal	Sniper Bow	0	143	0	0	4	0
Normal	Highborn Bow	0	161	0	0	3	0
Normal	Crystal Wand	0	0	146	1	0	2
Normal	Engraved Wand	0	0	131	1	0	2
Normal	Engraved Wand	0	0	131	0	0	3
Normal	Serpent Wand	0	0	158	0	0	2
Normal	Barbed Club	125	0	0	2	0	0
Normal	Apex Rapier	0	176	0	0	3	0
Magic	Prior's Conjurer Boots of the Walrus	0	0	94	0	0	2
Normal	Silk Slippers	0	0	42	0	0	1
Normal	Shagreen Gloves	0	78	0	0	2	2
Normal	Superior Steel Circlet	0	0	101	0	1	2
Magic	Shagreen Boots of Stone Skin	0	97	0	0	1	0
Normal	Ancient Gauntlets	68	0	0	3	0	0
Normal	Sharkskin Boots	0	79	0	0	1	0
Normal	Superior Hunter Hood	0	87	0	1	1	0
Normal	Superior Samite Helmet	114	0	0	2	0	1
Normal	Corrugated Buckler	0	112	0	0	2	0
Magic	Wraith's Coronal Leather	0	134	0	0	2	0
Normal	Spidersilk Robe	0	0	134	1	0	1
Normal	Full Plate	81	0	0	2	0	0
Normal	Sun Plate	124	0	0	3	0	0
Normal	Conjurer's Vestment	0	0	124	0	0	3
Normal	Majestic Plate	144	0	0	1	0	1
Normal	Colosseum Plate	134	0	0	3	0	0
Normal	Cutthroat's Garb	0	144	0	1	1	0
Normal	Rock Breaker	134	0	0	2	0	0
Normal	Ornate Mace	161	0	0	1	0	0
Normal	Decimation Bow	0	170	0	0	3	0
Normal	Decimation Bow	0	170	0	0	3	0
Magic	Girded Tower Shield of the Drake	123	0	0	2	1	0
Normal	Painted Tower Shield	87	0	0	2	1	0
Normal	Decimation Bow	0	170	0	0	1	0
Normal	Superior Sniper Bow	0	143	0	0	1	0
Normal	Decimation Bow	0	170	0	1	2	1
Normal	Omen Wand	0	0	200	0	0	3
Normal	Imbued Wand	0	0	188	0	0	2
Normal	Serpent Wand	0	0	158	0	0	2
