iLevel,STR,DEX,INT,R,G,B
56,0,179,0,0,2,0
56,0,81,0,0,2,0
56,0,0,152,0,0,1
56,75,0,75,0,0,2
56,0,82,82,0,2,1
56,0,70,70,0,0,1
56,0,114,0,0,2,1
56,0,70,70,1,0,0
56,0,0,134,1,1,1
56,0,94,94,1,0,1
56,49,49,0,2,2,0
56,82,0,0,2,1,0
56,47,0,47,2,0,0
56,0,176,0,0,1,1
56,0,71,102,0,2,1
56,0,52,52,0,1,1
56,0,97,0,1,2,0
56,57,57,0,1,1,0
56,16,0,16,1,0,1
56,48,48,0,0,3,1
56,0,52,52,1,0,0
56,0,176,0,0,1,0
56,0,58,123,0,1,0
56,0,58,123,0,0,1
56,0,28,60,0,1,2
56,0,78,0,1,0,0
56,20,0,0,1,0,0
56,48,48,0,1,1,0
56,15,0,15,2,0,1
56,59,0,59,3,0,1
56,50,0,50,1,0,2
56,0,0,179,1,0,2
56,0,0,200,1,0,0
56,0,0,83,1,0,2
56,0,0,179,0,0,2
56,0,0,179,0,0,1
56,0,0,179,0,0,1
56,0,0,179,1,0,0
54,57,57,0,0,2,1
54,164,0,0,2,2,0
54,123,0,0,2,0,0
54,170,0,0,1,0,1
54,58,58,0,1,0,0
54,123,0,0,1,1,0
54,87,0,0,3,0,0
54,155,0,0,1,0,0
54,100,29,0,2,1,0
54,134,59,0,2,1,0
54,170,0,0,1,1,1
54,170,0,0,1,0,0
54,60,0,60,0,1,0
54,144,0,0,2,0,0
54,0,144,0,0,4,0
54,79,79,0,1,0,1
54,75,0,75,1,0,0
54,0,76,76,1,1,1
54,0,76,76,0,2,0
54,79,79,0,3,2,0
54,0,60,60,0,1,0
54,0,0,99,1,0,2
54,0,104,0,0,1,0
54,0,104,0,0,1,0
54,124,0,0,1,0,0
54,144,0,0,1,0,0
54,0,134,0,0,4,0
54,79,79,0,0,1,0
54,69,0,69,1,0,0
54,0,71,71,0,1,3
54,0,0,73,0,0,2
54,0,99,0,0,3,0
54,0,70,70,0,2,0
54,0,105,73,0,1,0
54,0,105,73,0,1,0
54,0,69,100,0,2,0
54,0,0,112,0,0,1
54,95,0,0,1,0,1
54,34,34,0,3,0,0
54,0,149,0,0,1,0
54,0,149,0,0,2,1
54,38,38,0,1,2,0
54,95,0,0,1,0,0
54,57,57,0,2,0,0
54,0,51,51,1,0,2
54,0,0,69,0,0,2
54,38,38,0,1,0,0
54,0,149,0,0,1,0
54,0,158,0,0,1,0
54,0,39,39,1,0,1
54,28,0,28,0,1,0
54,82,0,0,2,0,0
54,95,0,0,0,1,0
54,0,40,40,1,1,0
54,0,72,72,0,1,2
54,0,58,123,0,0,1
54,62,62,0,0,1,0
54,55,79,0,1,0,0
54,0,0,131,0,0,2
54,0,0,146,1,0,0
54,0,0,200,0,0,2
54,0,0,200,1,0,2
54,0,0,200,0,0,2
54,0,0,200,0,1,1
54,0,0,200,0,0,1
54,0,0,200,0,0,1
54,0,0,200,0,0,1
47,100,29,0,2,0,1
47,78,0,78,1,0,1
47,65,0,65,1,0,0
47,0,134,0,0,3,0
47,0,95,0,0,2,0
47,0,125,0,0,3,1
47,0,134,0,1,1,1
47,78,0,78,0,0,1
47,100,29,0,1,1,0
47,69,58,0,1,3,0
47,143,0,0,3,0,0
47,106,49,0,1,0,0
47,44,44,0,1,1,1
47,81,81,0,1,2,0
47,152,0,0,3,0,0
47,81,0,81,2,0,1
47,81,0,81,1,0,0
47,83,70,0,1,1,0
47,106,49,0,1,1,0
47,143,0,0,4,0,0
47,81,56,0,0,1,0
47,106,49,0,2,0,0
47,81,81,0,0,1,0
47,152,0,0,2,0,0
47,81,0,81,1,0,1
47,0,116,0,0,2,0
47,104,0,0,2,0,0
47,0,0,91,0,1,3
47,64,0,64,1,0,0
47,28,0,28,0,0,1
47,68,0,0,2,0,0
47,0,99,0,0,4,0
47,0,30,30,0,1,0
47,57,57,0,1,0,0
47,114,0,0,1,0,0
47,44,44,0,2,0,0
47,81,0,0,1,0,0
47,124,0,0,1,2,0
47,64,0,64,0,1,1
47,0,65,65,0,0,3
47,49,49,0,2,2,0
47,0,33,0,0,0,1
47,0,50,0,0,1,1
47,50,0,50,3,0,1
47,34,34,0,0,4,0
47,40,40,0,2,0,0
47,0,58,58,1,0,1
47,0,103,0,0,2,0
47,0,80,80,0,2,0
47,0,88,61,2,1,0
47,29,0,29,0,1,0
47,0,51,110,0,0,1
47,0,29,29,0,0,2
47,41,0,0,2,0,0
47,0,131,0,0,1,0
47,0,101,0,0,1,0
47,0,55,79,0,0,1
47,0,72,72,1,1,1
47,0,0,83,0,2,0
47,0,0,146,0,0,1
47,0,0,146,0,2,1
47,0,0,119,0,0,3
47,0,0,116,0,0,2
47,0,0,146,0,0,1
40,0,125,0,1,2,0
40,51,0,51,2,0,0
40,65,0,65,2,0,1
40,45,38,0,0,1,0
40,45,54,0,1,0,1
40,45,54,0,1,1,0
40,44,25,0,2,0,0
40,65,0,65,2,0,0
40,51,0,51,1,1,0
40,57,83,0,1,0,0
40,96,0,0,2,0,0
40,67,0,67,1,0,1
40,52,0,52,0,0,2
40,0,0,91,0,0,1
40,0,0,99,0,0,1
40,52,0,52,1,0,1
40,0,116,0,1,0,0
40,67,0,67,1,0,0
40,107,0,0,2,0,1
40,62,0,0,1,0,0
40,86,40,0,1,0,0
40,51,0,51,0,0,1
40,0,26,0,0,3,0
40,52,52,0,0,2,0
40,0,91,0,0,2,0
40,0,0,104,0,0,1
40,48,48,0,0,1,0
40,53,0,53,1,1,1
40,0,53,77,0,1,2
40,58,0,0,2,0,0
40,0,70,0,0,2,0
40,30,30,0,3,1,0
40,35,35,0,1,2,0
40,0,70,0,0,2,0
40,75,0,0,0,1,0
40,0,53,77,0,0,1
40,0,48,48,0,0,2
40,57,57,0,1,0,1
40,53,0,53,3,0,0
40,0,61,61,0,1,0
40,0,61,61,0,2,0
40,0,53,77,0,1,2
40,0,66,0,0,2,0
40,0,0,59,0,0,3
40,38,0,38,0,1,0
40,0,27,27,0,2,1
40,0,0,59,0,0,1
40,0,0,23,2,0,0
40,0,70,70,0,2,1
40,0,70,70,0,1,0
40,0,62,0,0,4,0
40,0,0,69,0,0,2
40,0,33,0,0,1,0
40,0,50,0,0,1,2
40,55,79,0,0,2,1
40,29,29,0,0,2,1
40,0,29,29,0,1,0
40,0,89,0,0,1,0
40,0,28,60,1,1,1
40,0,0,65,0,0,2
40,0,0,131,0,1,2
40,0,0,131,1,0,2
40,0,0,131,1,0,0
40,0,0,119,0,1,0
40,0,0,116,0,0,3
40,0,0,131,0,0,1
36,0,56,0,0,1,1
36,51,0,51,1,0,1
36,80,37,0,2,0,1
36,86,40,0,1,1,0
36,44,0,44,1,0,0
36,51,0,51,2,0,1
36,95,0,0,2,1,0
36,86,40,0,0,1,1
36,87,0,0,1,1,1
36,59,0,59,1,0,1
36,35,0,35,0,0,1
36,54,25,0,1,0,0
36,58,33,0,1,0,0
36,85,37,0,1,0,0
36,30,30,0,1,1,0
36,95,0,0,1,0,0
36,62,0,62,0,0,1
36,0,116,0,0,1,0
36,46,0,46,1,0,0
36,0,0,81,0,0,1
36,0,0,99,0,0,2
36,0,0,99,0,0,1
36,0,48,48,0,1,1
36,0,48,48,0,0,1
36,28,28,0,1,1,0
36,0,0,99,0,1,2
36,0,0,81,0,0,2
36,99,0,0,2,0,0
36,28,28,0,0,0,1
36,0,99,0,0,2,0
36,0,0,91,0,0,5
36,0,0,99,1,0,0
36,53,53,0,0,2,0
36,0,48,48,1,1,1
36,0,53,53,0,2,0
36,0,85,0,0,2,0
36,36,0,36,1,0,1
36,0,0,21,0,0,1
36,0,113,0,0,1,0
36,62,62,0,0,2,1
36,0,0,0,1,1,1
36,0,0,54,0,0,3
36,0,0,82,0,0,1
36,0,44,44,0,0,1
36,19,19,0,1,0,0
36,0,29,29,0,0,1
36,0,36,78,0,0,1
36,0,73,51,0,2,0
36,116,0,0,3,0,0
36,0,73,51,1,1,0
36,0,101,0,1,0,1
36,42,0,0,1,1,0
36,35,0,35,0,1,0
36,0,50,0,0,4,0
36,38,38,0,1,2,0
36,0,64,44,0,2,0
36,0,39,56,0,0,3
36,0,0,119,0,0,1
36,0,0,116,0,0,2
36,0,0,116,2,0,0
36,0,0,119,0,0,2
36,0,0,116,0,0,3
36,0,0,116,0,0,1
36,0,0,119,0,0,2
36,0,0,119,0,0,3
26,0,56,0,0,3,0
26,0,83,0,0,2,0
26,27,0,27,1,0,2
26,43,0,43,2,1,0
26,0,0,0,1,1,0
26,28,28,0,0,2,1
26,62,0,0,2,0,0
26,31,0,0,2,0,0
26,43,0,43,1,0,2
26,20,0,20,0,1,0
26,0,83,0,1,2,0
26,30,30,0,2,1,0
26,44,44,0,1,0,0
26,56,0,0,1,0,0
26,56,0,0,0,0,1
26,83,0,0,1,0,0
26,63,0,0,1,0,1
26,63,0,0,2,0,0
26,0,53,0,1,0,1
26,0,0,73,0,0,1
26,34,34,0,3,0,0
26,34,0,34,1,0,2
26,0,35,35,0,1,0
26,0,30,30,0,1,0
26,16,0,16,1,0,0
26,28,28,0,0,2,1
26,0,53,0,0,1,1
26,63,0,0,1,0,0
26,0,14,0,2,1,0
26,0,0,17,0,0,1
26,28,28,0,1,0,0
26,34,0,34,1,0,0
26,0,30,30,0,1,1
26,0,0,60,0,0,2
26,0,19,19,0,1,0
26,0,0,60,0,0,3
26,0,60,0,0,1,1
26,0,39,56,0,0,1
26,0,39,56,1,2,0
26,0,39,56,0,1,0
26,0,28,28,0,3,0
26,18,18,0,0,2,0
26,0,33,0,0,1,0
26,0,62,0,0,1,0
26,0,77,0,0,1,0
26,0,33,0,0,2,0
26,0,0,0,1,0,0
26,21,0,0,1,1,0
26,20,0,0,1,0,0
26,0,0,39,0,0,2
26,0,28,60,1,0,2
26,0,28,60,0,0,2
26,0,18,26,0,1,1
26,0,62,0,0,3,0
26,0,47,0,0,0,2
26,36,0,0,2,1,0
26,42,0,0,2,0,1
26,0,46,0,0,2,0
26,0,33,0,1,2,0
26,0,0,65,0,0,1
26,0,0,65,0,1,2
26,0,0,83,1,0,2
26,0,0,65,0,0,1
26,0,0,47,0,0,3
26,0,0,29,0,0,3
26,0,0,29,0,0,2
26,0,0,47,0,0,2
26,0,0,65,0,0,2
26,0,0,83,1,0,2
15,0,41,0,0,2,0
15,20,0,20,1,0,0
15,21,30,0,0,1,0
15,25,0,35,0,0,2
15,25,0,35,0,0,1
15,0,26,0,1,2,0
15,25,0,35,2,0,0
15,0,0,0,0,0,1
15,21,30,0,0,0,1
15,0,41,0,0,2,0
15,21,0,0,1,0,0
15,28,19,0,1,1,0
15,56,0,0,2,0,0
15,25,0,35,2,0,1
15,25,0,35,1,0,0
15,0,0,0,0,2,0
15,0,0,0,1,0,0
15,0,0,37,0,1,0
15,0,0,0,0,1,0
15,0,0,28,0,0,3
15,0,0,0,1,0,0
15,18,18,0,3,0,0
15,18,18,0,1,0,0
15,0,0,0,1,1,1
15,0,0,28,1,0,1
15,0,0,0,0,1,1
15,16,0,16,1,0,1
15,25,0,0,2,0,0
15,0,0,42,0,0,1
15,0,0,23,0,0,1
15,0,0,0,1,0,1
15,0,0,21,0,0,1
15,0,0,0,0,1,1
15,0,0,0,0,3,0
15,0,0,0,2,0,0
15,16,0,16,1,1,1
15,0,0,37,0,0,1
15,0,0,0,0,0,1
15,0,25,25,0,0,1
15,0,19,19,0,0,2
15,18,18,0,0,1,0
15,15,0,15,2,1,0
15,15,0,15,2,0,0
15,0,0,0,0,1,1
15,0,16,0,0,1,1
15,0,0,0,0,1,0
15,18,26,0,1,0,1
15,26,0,0,2,0,0
15,0,30,30,0,2,1
15,0,47,0,0,3,0
15,0,0,0,0,0,2
15,20,0,0,0,0,1
15,20,0,0,0,0,1
15,0,0,0,0,0,2
15,0,47,0,0,2,0
15,0,0,0,0,1,1
15,18,26,0,1,0,0
15,0,30,30,0,1,0
15,41,0,0,1,1,1
15,0,0,47,0,0,2
15,0,0,47,0,0,2
15,0,0,47,1,0,1
15,0,0,47,0,1,2
15,0,0,47,0,0,1
15,0,0,47,0,0,2
15,0,0,47,0,0,2
15,0,0,0,2,0,0
32,0,107,0,0,3,0
32,27,0,27,1,0,1
32,33,33,0,3,0,0
32,107,0,0,3,0,0
32,92,0,0,1,0,0
32,45,54,0,1,2,0
32,62,27,0,3,1,0
32,35,0,35,2,0,0
32,0,107,0,1,2,0
32,62,0,0,1,0,0
32,107,0,0,3,0,0
32,91,0,0,1,0,0
32,48,48,0,0,1,1
32,34,0,34,2,0,1
32,48,0,48,1,0,0
32,0,53,0,0,0,3
32,44,0,44,1,0,1
32,46,55,0,0,0,1
32,76,0,0,2,0,1
32,48,0,0,1,0,1
32,83,0,0,3,0,0
32,91,0,0,2,0,0
32,0,0,81,0,1,2
32,28,0,28,2,0,0
32,48,0,48,2,1,1
32,0,17,17,0,2,1
32,0,0,71,1,1,1
32,0,46,0,0,1,0
32,0,14,14,0,1,2
32,0,0,59,0,1,2
32,30,30,0,2,2,0
32,0,33,33,0,1,2
32,0,66,0,0,3,0
32,0,0,71,1,0,2
32,0,64,44,1,1,1
32,0,30,30,0,1,0
32,0,48,48,1,0,2
32,0,64,44,0,1,1
32,0,60,0,0,1,0
32,0,41,41,0,2,0
32,0,74,0,0,1,0
32,0,37,37,0,1,0
32,0,37,37,0,1,0
32,0,37,37,1,0,0
32,0,0,40,0,1,3
32,18,18,0,3,1,0
32,0,0,0,0,0,1
32,44,0,0,0,0,1
32,0,33,33,0,1,1
32,0,33,33,1,0,0
32,28,0,28,1,0,2
32,0,27,27,0,2,0
32,0,0,39,0,1,1
32,0,28,60,0,1,0
32,0,0,0,3,0,0
32,0,0,65,0,0,2
32,0,0,83,0,1,2
26,0,71,0,0,1,1
26,31,0,0,2,0,0
26,45,38,0,0,1,0
26,62,0,0,1,0,0
26,41,35,0,1,1,0
26,44,44,0,2,1,0
26,54,25,0,2,1,0
26,62,0,0,1,0,1
26,45,38,0,1,0,0
26,44,25,0,1,1,0
26,0,71,0,0,1,0
26,21,0,0,1,1,0
26,48,0,0,1,0,1
26,54,25,0,1,0,0
26,58,33,0,1,0,0
26,71,0,0,2,1,0
26,19,19,0,0,0,1
26,53,0,0,2,0,1
26,0,0,37,0,0,3
26,0,0,0,0,1,0
26,28,0,28,1,0,1
26,0,0,55,0,0,3
26,0,73,0,0,3,0
26,28,0,28,0,0,1
26,38,0,38,0,0,2
26,38,0,38,1,1,1
26,0,73,0,0,2,0
26,0,0,73,0,1,2
26,0,35,35,1,0,0
26,0,41,41,0,2,0
26,0,39,27,1,1,1
26,0,25,25,0,1,1
26,0,25,25,0,0,1
26,0,25,25,0,0,1
26,0,0,20,0,0,1
26,0,0,42,0,0,1
26,15,0,15,0,1,2
26,0,0,0,1,0,0
26,0,89,0,0,0,1
26,0,0,0,1,0,1
26,18,26,0,0,1,1
26,18,26,0,0,1,0
26,0,0,0,1,0,1
26,0,28,60,0,0,1
26,16,0,16,0,2,0
26,0,18,18,0,1,1
26,0,0,60,0,0,1
26,0,0,40,0,0,3
26,0,17,0,1,0,0
26,0,33,0,0,1,0
26,44,0,0,1,0,2
26,0,0,0,1,0,1
26,0,0,39,0,0,1
26,0,31,45,0,1,1
15,0,56,0,1,1,0
15,0,56,0,0,1,1
15,0,56,0,0,1,2
15,27,0,27,1,0,1
15,27,0,27,1,1,1
15,27,0,27,1,0,1
15,31,0,0,2,0,1
15,31,0,0,3,0,0
15,31,0,0,2,1,0
15,20,17,0,0,2,0
15,20,17,0,1,2,0
15,21,30,0,1,2,0
15,21,0,0,2,1,0
15,22,0,22,1,0,2
15,0,0,0,1,2,0
15,0,32,0,0,0,1
15,0,0,37,1,0,1
15,0,14,0,0,1,2
15,0,26,0,0,1,0
15,30,30,0,0,3,0
15,28,19,0,1,0,0
15,35,0,0,1,0,0
15,30,30,0,0,2,1
15,56,0,0,3,0,0
15,0,26,0,0,1,1
15,0,0,37,0,0,2
15,16,16,0,0,2,1
15,16,0,16,0,0,1
15,0,25,25,0,0,2
15,0,0,0,1,0,1
15,0,17,0,1,2,0
15,0,0,21,0,1,0
15,0,14,14,1,1,1
15,0,25,25,0,2,1
15,0,17,17,0,2,0
15,16,16,0,2,1,0
15,16,0,16,1,2,0
15,0,0,0,0,0,1
15,0,0,20,1,0,1
15,16,0,16,1,0,2
15,0,0,0,2,0,1
15,0,0,0,1,1,0
15,21,0,0,1,1,0
15,0,0,0,1,1,1
15,0,30,30,0,0,1
15,0,16,0,0,1,0
15,21,0,0,0,1,0
15,0,0,0,0,0,1
15,0,30,30,0,1,2
15,0,0,0,2,0,0
15,18,26,0,0,1,0
15,0,0,0,2,1,0
15,0,30,30,0,1,1
15,0,0,0,1,1,1
15,0,0,0,0,1,2
15,0,0,47,0,0,3
15,0,0,47,0,0,2
15,0,0,0,0,1,0
15,0,0,29,0,1,0
26,0,56,0,0,2,0
26,0,71,0,1,0,0
26,0,83,0,0,2,0
26,17,0,0,1,0,1
26,62,0,0,0,1,0
26,0,83,0,0,3,0
26,0,56,0,0,1,0
26,54,25,0,2,0,0
26,30,30,0,2,1,0
26,83,0,0,1,0,0
26,38,0,38,0,1,0
26,44,0,44,0,0,1
26,28,28,0,2,0,0
26,28,28,0,2,0,0
26,0,0,37,0,0,1
26,34,34,0,0,3,0
26,0,35,35,0,1,0
26,0,35,35,0,3,0
26,34,34,0,0,0,1
26,0,0,73,0,0,3
26,63,0,0,1,0,1
26,28,28,0,1,0,0
26,28,28,0,3,0,0
26,0,73,0,0,2,0
26,28,28,0,1,1,1
26,0,17,17,0,1,1
26,0,35,35,1,2,0
26,0,0,23,0,1,1
26,0,0,0,0,1,2
26,0,28,28,0,2,1
26,0,39,56,1,1,1
26,0,0,40,0,0,3
26,0,21,21,1,0,2
26,36,0,0,1,0,1
26,0,28,60,1,1,1
26,0,33,0,0,1,0
26,44,0,0,2,1,0
26,0,0,58,0,1,2
26,0,0,0,1,0,2
26,0,0,42,0,0,2
26,0,0,39,0,1,1
26,0,89,0,0,2,0
26,0,30,30,2,0,1
26,0,28,60,0,2,0
26,0,30,30,0,2,0
26,0,0,39,0,0,3
26,0,0,0,1,0,0
26,19,19,0,0,2,1
26,0,0,0,0,1,1
26,28,28,0,1,0,0
26,27,0,27,0,0,3
26,0,0,83,1,0,1
26,0,0,83,0,0,1
26,0,0,83,0,1,2
26,0,0,83,0,0,1
26,0,0,65,0,0,1
26,0,0,0,0,0,1
26,0,0,47,0,0,1
26,0,0,65,0,0,1
15,0,41,0,0,1,0
15,0,56,0,0,2,0
15,0,56,0,0,2,0
15,36,17,0,0,1,0
15,35,0,0,3,0,0
15,47,0,0,1,0,0
15,0,0,0,0,1,2
15,47,0,0,3,0,0
15,36,17,0,1,0,0
15,0,56,0,0,3,0
15,33,0,0,1,0,0
15,56,0,0,2,0,1
15,25,0,35,0,0,1
15,25,0,35,0,1,2
15,19,19,0,0,1,0
15,0,0,0,0,0,1
15,19,19,0,1,0,0
15,0,0,0,2,1,0
15,25,0,35,0,0,1
15,22,0,22,0,0,2
15,33,0,0,0,2,0
15,30,30,0,0,2,0
15,22,0,22,0,0,2
15,25,0,35,1,0,0
15,0,26,0,1,1,0
15,0,0,17,1,0,1
15,0,0,17,0,0,1
15,16,16,0,1,1,1
15,0,0,0,1,0,0
15,0,17,17,0,0,1
15,0,27,0,1,1,0
15,16,0,16,1,0,1
15,0,0,0,1,1,0
15,18,18,0,1,0,0
15,0,17,17,0,0,1
15,0,0,0,0,1,1
15,16,16,0,1,0,1
15,0,0,37,0,0,1
15,0,0,37,0,0,2
15,16,16,0,0,1,0
15,0,0,0,1,0,0
15,18,18,0,0,1,1
15,0,0,0,1,1,1
15,20,0,0,2,0,1
15,0,0,0,1,1,0
15,0,0,0,1,0,2
15,0,19,19,1,0,1
15,0,0,15,1,0,1
15,0,25,25,0,0,1
15,0,25,25,0,0,1
15,0,0,0,0,0,1
15,0,0,0,0,1,0
15,18,26,0,1,1,0
15,0,0,0,0,2,1
15,0,30,30,0,0,2
15,0,30,30,0,1,0
15,0,0,0,1,1,0
15,0,0,0,1,2,0
62,0,160,0,1,1,0
63,54,0,54,0,0,2
62,68,0,0,1,1,0
62,0,0,160,0,0,1
62,0,64,64,0,1,0
62,151,43,0,1,0,1
62,0,113,78,0,2,0
62,131,0,0,3,0,0
62,0,45,45,0,1,2
62,0,51,110,1,0,0
62,0,0,128,0,0,2
62,80,96,0,0,1,0
62,38,38,0,1,0,1
62,82,0,0,1,0,0
64,64,64,0,0,1,0
64,0,0,94,0,0,3
64,0,212,0,1,0,0
64,0,0,141,0,0,1
64,0,167,0,0,3,0
62,0,79,72,0,2,1
62,0,0,179,0,0,2
62,0,0,160,1,0,2
63,188,0,0,4,0,0
63,0,86,86,0,0,1
63,35,0,35,1,0,0
63,0,0,68,1,0,1
63,134,39,0,1,0,0
63,132,0,0,1,1,0
63,0,185,0,1,2,0
63,84,0,84,1,0,3
63,0,45,45,1,1,1
62,113,65,0,1,1,0
63,119,82,0,0,2,0
63,119,82,0,3,0,0
63,83,83,0,3,0,0
63,0,170,0,0,1,0
63,0,97,0,1,2,0
64,144,0,0,1,0,0
63,40,0,40,1,0,2
63,38,38,0,0,1,0
63,0,107,0,0,3,0
63,0,97,0,0,2,0
63,0,113,113,0,1,0
63,99,57,0,1,0,0
64,64,64,0,2,2,0
64,60,0,60,2,0,1
64,0,134,0,1,1,0
62,0,97,0,0,2,0
64,47,0,47,0,0,1
63,0,152,0,0,1,0
63,50,0,50,1,0,1
63,143,0,0,0,1,1
63,96,96,0,1,0,0
63,96,0,96,1,1,1
64,99,0,99,0,0,2
64,0,179,0,0,1,1
64,122,53,0,1,1,0
63,0,105,73,1,0,1
64,119,82,0,0,1,0
64,99,0,99,1,0,0
64,0,160,0,0,3,0
64,144,0,0,1,1,0
64,83,83,0,3,0,0
63,179,0,0,2,0,0
63,76,0,0,3,0,0
63,0,152,0,0,2,0
62,128,60,0,1,1,0
62,89,0,89,0,0,1
62,76,0,76,0,0,1
64,0,136,0,0,1,1
64,0,0,179,0,0,3
64,0,170,0,0,3,0
63,114,0,0,2,0,0
62,94,0,94,1,0,1
62,106,89,0,0,1,1
63,84,0,84,1,0,2
62,0,112,0,0,2,0
63,152,0,0,1,0,0
63,64,0,64,1,0,1
63,0,104,0,0,4,0
63,0,0,118,0,0,1
62,0,63,90,0,1,1
63,0,94,94,1,0,0
63,0,0,179,0,0,2
63,0,167,0,0,1,0
63,0,0,160,0,0,1
63,0,52,52,0,0,1
63,122,53,0,1,0,0
64,0,0,82,0,0,1
64,0,179,0,0,3,0
64,0,113,78,1,1,0
62,0,0,68,0,0,2
62,83,0,99,2,0,0
64,76,0,0,3,0,0
64,0,64,64,1,1,1
64,0,79,0,1,1,0
64,117,0,0,2,0,0
63,0,94,94,0,1,2
62,140,86,0,0,1,1
63,81,117,0,1,0,0
63,84,0,84,1,0,0
63,0,122,0,0,2,0
63,84,0,84,1,0,2
66,0,185,0,0,1,0
64,0,167,0,0,1,0
64,95,0,0,0,1,0
66,170,0,0,1,0,1
64,83,83,0,0,0,1
66,0,0,212,1,1,1
66,0,39,39,0,2,2
64,0,70,0,1,1,0
64,119,82,0,3,0,0
64,0,212,0,0,1,0
64,73,73,0,1,2,0
66,114,0,0,3,0,0
66,0,39,39,1,1,1
66,34,0,34,2,1,0
65,0,149,0,0,1,1
64,0,58,58,1,0,1
65,0,52,52,1,0,1
65,0,52,52,1,0,1
65,44,0,44,0,1,3
65,0,0,212,0,0,1
65,58,58,0,0,1,0
65,91,91,0,2,0,1
65,82,119,0,1,2,0
65,161,0,0,1,0,0
64,94,0,94,0,0,1
